生产ID,西医病名,西医病名key,中医二级病名/症状锚点,阶段/状态轴,证型,证型证素,症状/入选条件,排除条件,方剂,方剂组成,加减,病理/证机概要,现代病理提示,trace_id,review_status
PROD_000142,下肢深静脉血栓形成**,xia_zhi_shen_jing_mai_xie_shuan_xing_cheng,下肢深静脉血栓形成**,acute_phase,湿热下注,湿热蕴结,发热；患肢粗肿；发红；舌质红；脉弦滑,,四妙勇安汤,金银花20g；玄参30g；当归18g；生甘草6g,+患肢疼痛：银花9g；+其他：蒲公英15g；+便秘：生大黄6g；+其他：芒硝3g（冲）；+全身发热明显：生石膏20g；+其他：知母12g；+其他：漏芦9g,湿热蕴结,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_196-01-01,原始库直入；结构抽样复核
PROD_000143,下肢深静脉血栓形成**,xia_zhi_shen_jing_mai_xie_shuan_xing_cheng,下肢深静脉血栓形成**,common_phase,血脉瘀阻,瘀血阻滞,患肢肿胀；固定性压痛；皮色紫暗；舌质暗或有瘀斑；脉弦,,活血通脉汤,丹参15g；红花6g；赤芍15g；当归12g；牡丹皮12g；桃仁10g；黄芪15g；鸡血藤15g,+疼痛严重：王不留行12g；+其他：乳香9g；+其他：没药6g；+局部压痛拒按：三棱12g；+其他：莪术15g,瘀血阻滞,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_196-02-01,原始库直入；结构抽样复核
PROD_000144,下肢静脉曲张**,xia_zhi_jing_mai_qu_zhang,下肢静脉曲张**,common_phase,劳倦伤气,[待补充],常伴气短乏力；脘腹坠胀；下坠不适感加重；舌淡；脉细缓无力,伴形寒肢冷；下肢轻度肿胀；小便清长；患肢肿胀疼痛；表面色青紫,补中益气汤化裁,人参4g；炙黄芪30g；党参12g；炒白术12g；当归12g；陈皮12g,+下肢酸胀、青筋暴露：鸡血藤15g；+其他：白芍12g；+腰酸明显：杜仲12g,[待补充],消化道动力、炎症、黏膜屏障或菌群相关,ORIG_ORAL_149-01-01,原始库直入；结构抽样复核
PROD_000145,下肢静脉曲张**,xia_zhi_jing_mai_qu_zhang,下肢静脉曲张**,common_phase,外伤瘀滞,瘀血阻滞,患肢肿胀疼痛；表面色青紫；青筋盘曲；舌有瘀点；脉细涩,常伴气短乏力；脘腹坠胀；下坠不适感加重；伴形寒肢冷；下肢轻度肿胀,活血散瘀汤化裁,当归15g；赤芍15g；地龙6g；川芎9g；桃仁12g（打碎）；怀牛膝12g,+皮肤色素沉着：白鲜皮12g；+刺痛固定：苏木9g；+条索状硬结、疼痛拒按：乳香6g；+其他：没药6g；+合并浅静脉血栓：三七粉1.5g,瘀血阻滞,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_149-01-03,原始库直入；结构抽样复核
PROD_000146,下肢静脉曲张**,xia_zhi_jing_mai_qu_zhang,下肢静脉曲张**,common_phase,寒湿凝筋,寒湿阻滞,伴形寒肢冷；下肢轻度肿胀；小便清长；舌淡暗；脉弦细,常伴气短乏力；脘腹坠胀；下坠不适感加重；患肢肿胀疼痛；表面色青紫,暖肝煎合当归四逆汤,当归15g；小茴香9g；乌药9g；沉香3g（后下）；茯苓15g；桂枝6g；白芍15g；细辛3g；川芎9g,+寒凉症状明显：生姜6g,寒湿阻滞,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_149-01-02,原始库直入；结构抽样复核
PROD_000147,下肢静脉曲张**,xia_zhi_jing_mai_qu_zhang,下肢静脉曲张**,common_phase,火旺血燥,[待补充],伴五心烦热；口干；瘤体灼热；舌红；脉细数,常伴气短乏力；脘腹坠胀；下坠不适感加重；伴形寒肢冷；下肢轻度肿胀,清肝芦荟丸化裁,生地21g；当归21g；赤芍12g；川芎9g；丹参12g；芦荟3g,+夜间烦热盗汗：地骨皮9g；+口干咽燥、皮肤干燥：玄参12g；+其他：麦冬12g；+局部红肿灼热硬结：蒲公英12g；+其他：黄柏9g；+其他：金银花9g；+肢体肿胀：泽兰12g；+其他：防己15g,[待补充],需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_149-01-04,原始库直入；结构抽样复核
PROD_000148,不寐,bu_mei,不寐,chronic_phase,[待标注],[待补充],,,六味地黄丸合交泰丸,[待补充],"+其他：六味地黄丸合交泰丸。 心阴不足为主者 ,可用天王补心丹以滋阴养血 , 补心安神；+其他：心烦不寐 , 彻夜不眠者 , 加磁石 、 龙骨、龙齿重镇安神。",[待补充],需结合M1诊断、严重度和红旗信号判断,ZXNK_fx_00836,需人工审核
PROD_000149,不寐,bu_mei,不寐,chronic_phase,[待标注],[待补充],,,可用天王补心丹,[待补充],"+其他：六味地黄丸合交泰丸。 心阴不足为主者 ,可用天王补心丹以滋阴养血 , 补心安神；+其他：心烦不寐 , 彻夜不眠者 , 加磁石 、 龙骨、龙齿重镇安神。",[待补充],需结合M1诊断、严重度和红旗信号判断,ZXNK_fx_00837,需人工审核
PROD_000150,不寐,bu_mei,不寐,chronic_phase,[待标注],[待补充],,,归脾汤,[待补充],+其他：归脾汤加减。,[待补充],需结合M1诊断、严重度和红旗信号判断,ZXNK_fx_00834,需人工审核
PROD_000151,不寐,bu_mei,不寐,chronic_phase,[待标注],[待补充],,,黄连温胆汤,[待补充],"+其他：黄连温胆汤加减。 常加龙齿 、 珍珠母 、 磁石镇惊安神。 若饮食停滞 , 胃中不和 , 嗳腐吞酸 ,脘腹胀痛 ,再加神曲、 焦山楂、莱菔子以消导和中。",[待补充],需结合M1诊断、严重度和红旗信号判断,ZXNK_fx_00832,需人工审核
PROD_000152,不寐,bu_mei,不寐,chronic_phase,[待标注],[待补充],,,龙胆泻肝汤,[待补充],+其他：龙胆泻肝汤加减。 常加朱茯神、 生龙骨、 生牡蛎、 灵芝、磁石镇心安神。,[待补充],需结合M1诊断、严重度和红旗信号判断,ZXNK_fx_00830,需人工审核
PROD_000153,不寐,bu_mei,不寐,chronic_phase,[待标注],[待补充],不寐主要以睡眠障碍为主；西医学的失眠症；更年期综合征；神经衰弱等以失眠为主要临床表现的疾病时；均可参照本节辨治；1.失眠症 以睡眠障碍为唯一的症状；其他症状均继发于失眠；包括难以入睡；睡眠不深；易醒；多梦；早醒；醒后不易再睡；醒后不适感；头痛；疲乏困倦；社会功能受损；每周至少发作3次；持续1个月以上；排除其他躯体疾病所致的失眠；睡眠脑电图有一定价值；2.神经衰弱 大多缓慢起病；可找到导致长期精神紧张；疲劳的因素；常伴有精力不足；反应迟钝；注意力不集中；易激动；自制力差；头胀等症状,,辨证地应用黄连阿胶汤和酸枣仁汤；每因饮；咖啡等饮；不思饮；代表方；龙胆泻肝汤；黄连温胆汤；归脾汤；六味地黄丸合交泰丸；可用天王补心丹,[待补充],,《内经》 中称不寐为“ 不得卧”“不得眠”“ 目不瞑” ，并认为该证是因邪气客于脏腑 ，卫气不能入阴 ，使阴阳不和 ，则夜不能寐。 正如《灵枢.邪客》 中所述： “ 夫邪气之客人也 ，或令人目不瞑 ， 不卧出者 今厥气客于五脏六腑，则卫气独卫其外，行于阳，不得入于阴。 ”《素问.逆调论》 中的“ 胃不和则卧不安” 是指“ 阳明逆 ，不得从其道” ，故不得卧也。 后世医家延伸了它的含义 ，将脾胃不和、 痰湿、 食滞内扰以致寐寝不安者均归于此类。《难经.四十六难》 中首次提出“ 不寐”这一病名 ，并将老年人不寐的病机归纳为血气衰少。 汉代张仲景在《伤寒论》和,需结合M1诊断、严重度和红旗信号判断,ZXNK_disease_0114,需人工审核
PROD_000154,不射精 (Anejaculation),bu_she_jing_anejaculation,不射精 (Anejaculation),acute_phase,湿热蕴结,湿热蕴结,大便干结；身热；小便黄赤；舌质红；脉濡数,,程氏萆薢分清饮,萆薢12g；车前子9g；茯苓15g；丹参9g；黄柏9g；石菖蒲9g；白术9g；莲子心6g,"+若兼见食欲不振,胸闷,腹胀：藿香12g；+其他：砂仁5g；+其他：佩兰6g；+若兼口渴,腰酸足软：益母草12g；+其他：旱莲草15g；+其他：枸杞子10g",湿热蕴结,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_599-01-01,原始库直入；结构抽样复核
PROD_000155,不射精 (Anejaculation),bu_she_jing_anejaculation,不射精 (Anejaculation),common_phase,瘀血阻滞,瘀血阻滞,常有阴部胀痛不适或胸腹满闷；刺痛难耐；痛点固定；舌质紫黯或有瘀点瘀斑；脉沉细涩,胸胁胀痛；阴部胀痛不舒；头晕失眠；腰膝冷痛；面色晦暗,血府逐瘀汤,枳壳9g；柴胡6g；白芍15g；香附6g；桃仁10g；当归12g；红花6g；川芎6g；牛膝10g；其余药味:赤芍12g生地20g,+瘀血重者：益母草12g；+其他：穿山甲6g；+其他：王不留行6g,瘀血阻滞,消化道动力、炎症、黏膜屏障或菌群相关,ORIG_ORAL_599-02-02,原始库直入；结构抽样复核
PROD_000156,不射精 (Anejaculation),bu_she_jing_anejaculation,不射精 (Anejaculation),common_phase,肝郁气滞,肝失疏泄,胸胁胀痛；阴部胀痛不舒；头晕失眠；舌淡胖；脉弦滑,常有阴部胀痛不适或胸腹满闷；刺痛难耐；痛点固定；腰膝冷痛；面色晦暗,柴胡疏肝散,柴胡12g；枳壳9g；香附9g；陈皮12g；白芍15g；川芎9g；炙甘草6g；王不留行12g；川楝子6g,"+若兼有瘀斑,疼痛部位固定等瘀血征象：王不留行12g；+其他：猪蹄甲30g（先煎）；+其他：桃仁9g",肝失疏泄,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_599-02-01,原始库直入；结构抽样复核
PROD_000157,不射精 (Anejaculation),bu_she_jing_anejaculation,不射精 (Anejaculation),common_phase,肾阳不足,[待补充],腰膝冷痛；面色晦暗；性交不射精；舌淡苔薄白；脉弱无力,胸胁胀痛；阴部胀痛不舒；头晕失眠；常有阴部胀痛不适或胸腹满闷；刺痛难耐,右归饮,熟地20g；山药6g；山茱萸3g；枸杞6g；炙甘草6g；杜仲9g；肉桂6g；制附片9g（先煎）,+若兼滑精梦遗：覆盆子8g；+其他：五味子5g；+其他：生龙骨15g 生牡蛎15g；+若兼肝郁者：陈皮12g；+其他：香附9g；+其他：郁金12g,[待补充],需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_599-02-03,原始库直入；结构抽样复核
PROD_000158,不育症**,bu_yu_zheng,不育症**,common_phase,气血两虚,[待补充],神疲倦怠；面色无华；性欲减退；舌质淡；脉沉细无力,小便清长；阳痿早泄；两胁胀痛；性欲低下；阳痿不举,十全大补汤,熟地黄20g；当归15g；菟丝子15g；山药15g；枸杞子15g；巴戟天15g；鹿角胶12g（烊化）；杜仲12g；山茱萸12g,"+精子成活率低,活动力差：仙灵脾12g；+其他：巴戟天12g；+其他：菟丝子12g 黄芪20g；+死精,畸形精子多：土茯苓15g；+其他：蚤休12g；+食少便溏：炒神曲9g；+其他：山楂9g；+精子中有脓细胞：蒲公英15g；+其他：红藤12g；+其他：黄柏6g；+精液不液化而呈团块状：泽泻12g；+其他：丹皮9g；+其他：麦冬12g 当归15g 生地20g",[待补充],需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_157-01-04,原始库直入；结构抽样复核
PROD_000159,不育症**,bu_yu_zheng,不育症**,common_phase,湿热下注,湿热蕴结,小腹急满；小便短赤；阳事不兴或勃起不坚；舌苔薄黄；脉弦滑,小便清长；性欲减退；阳痿早泄；两胁胀痛；性欲低下,程氏萆薢分清饮,萆薢15g；苍术15g；白术12g；黄柏9g；石菖蒲12g；莲子心12g；丹参12g；怀牛膝12g；车前子15g（布包）,"+精子较少：西洋参9g；+小腹胀满：郁金12g；+其他：川楝子9g；+精子成活率低,活动力差：仙灵脾12g；+其他：巴戟天12g；+其他：菟丝子12g 黄芪20g；+死精,畸形精子多：土茯苓15g；+其他：蚤休12g；+34号：黄连6g；+其他：败酱草15g；+精子中有脓细胞：蒲公英15g；+其他：红藤12g；+其他：黄柏6g；+精液不液化而呈团块状：泽泻12g；+其他：丹皮9g；+其他：麦冬12g 当归15g 生地20g",湿热蕴结,消化道动力、炎症、黏膜屏障或菌群相关,ORIG_ORAL_157-01-03,原始库直入；结构抽样复核
PROD_000160,不育症**,bu_yu_zheng,不育症**,common_phase,肝郁气滞,肝失疏泄,两胁胀痛；性欲低下；阳痿不举；舌质暗；脉弦细,小便清长；性欲减退；阳痿早泄；小腹急满；小便短赤,柴胡疏肝散,陈皮9g；柴胡12g；川芎6g；枳壳9g；白芍15g；生甘草6g；香附6g,"+睡眠障碍：酸枣仁15g；+其他：柏子仁12g；+胁痛明显：川楝子6g；+气郁化火：生地20g；+其他：丹皮9g；+精子成活率低,活动力差：仙灵脾12g；+其他：巴戟天12g；+其他：菟丝子12g 黄芪20g；+死精,畸形精子多：土茯苓15g；+其他：蚤休12g；+精子中有脓细胞：蒲公英15g；+其他：红藤12g；+其他：黄柏6g；+精液不液化而呈团块状：泽泻12g；+其他：麦冬12g 当归15g 生地20g",肝失疏泄,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_157-01-02,原始库直入；结构抽样复核
PROD_000161,不育症**,bu_yu_zheng,不育症**,common_phase,肾阳虚衰,阳气不足/温煦失司,小便清长；性欲减退；阳痿早泄；舌质淡；脉沉细,两胁胀痛；性欲低下；阳痿不举；小腹急满；小便短赤,金匮肾气丸合五子衍宗丸,熟地黄15g；山药15g；山茱萸15g；茯苓15g；泽泻12g；牡丹皮12g；桂枝6g；制附片6g,"+阳虚症状较重：肉桂3g；+疲乏无力：黄芪20g；+其他：西洋参12g；+精子成活率低,活动力差：仙灵脾12g；+其他：巴戟天12g；+其他：菟丝子12g 黄芪20g；+死精,畸形精子多：土茯苓15g；+其他：蚤休12g；+精子中有脓细胞：蒲公英15g；+其他：红藤12g；+其他：黄柏6g；+夜尿频多：桑螵蛸12g；+精液不液化而呈团块状：泽泻12g；+其他：丹皮9g；+其他：麦冬12g 当归15g 生地20g",阳气不足/温煦失司,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_157-01-01,原始库直入；结构抽样复核
PROD_000162,丛集性头痛,cluster_headache,头痛,chronic_phase;active_phase,痰浊头痛,[待补充],头痛昏蒙；胸脘满闷；呕恶痰涎；苔白腻,阴虚少苔,半夏白术天麻汤,半夏（9g）；天麻（6g）；白术（18g）；甘草（3g）,,[待补充],需结合M1诊断、严重度和红旗信号判断,v11_chain_toutong_cluster_headache_phlegm_turbidity_headache,需人工审核
PROD_000163,丛集性头痛,cluster_headache,头痛,chronic_phase;active_phase,瘀血头痛,瘀血阻滞,头痛经久不愈；痛处固定如刺；舌紫暗瘀斑,急性雷击样头痛,通窍活血汤,[待补充],,瘀血阻滞,需结合M1诊断、严重度和红旗信号判断,v11_chain_toutong_cluster_headache_blood_stasis_headache,需人工审核
PROD_000164,丛集性头痛,cluster_headache,头痛,active_phase;chronic_phase,肝阳头痛,[待补充],头胀痛；眩晕；心烦易怒；面红；口苦；脉弦,外感表证,天麻钩藤饮,天庥（9g）；钩藤（12g）；生决明先煎（18g）；山枙（9g）；牛膝（12g）；杜仲（9g）；桑寄生（9g）；益母草（9g）；黄芩（9g）,,[待补充],需结合M1诊断、严重度和红旗信号判断,v11_chain_toutong_cluster_headache_liver_yang_headache,需人工审核
PROD_000165,丛集性头痛,cluster_headache,头痛,chronic_phase,肾虚头痛,肾精/肾气亏虚,头痛且空；眩晕耳鸣；腰膝酸软；遗精带下,外感实证,大补元煎,[待补充],,肾精/肾气亏虚,需结合M1诊断、严重度和红旗信号判断,v11_chain_toutong_cluster_headache_kidney_deficiency_headache,需人工审核
PROD_000166,丛集性头痛,cluster_headache,头痛,chronic_phase,血虚头痛,营血不足,头痛隐隐；头晕；心悸失眠；面色少华；舌淡,实热头痛,四物汤,臼芍药（9g）；当归（9g）；熟地黄（12g）；川笃（6g）,,营血不足,需结合M1诊断、严重度和红旗信号判断,v11_chain_toutong_cluster_headache_blood_deficiency_headache,需人工审核
PROD_000167,丛集性头痛,cluster_headache,头痛,acute_phase,风寒头痛,表寒/风寒束表,头痛连项；遇风寒加重；恶风畏寒；苔薄白,高热神经缺损,川芎茶调散,[待补充],,表寒/风寒束表,需结合M1诊断、严重度和红旗信号判断,v11_chain_toutong_cluster_headache_wind_cold_headache,需人工审核
PROD_000168,丛集性头痛,cluster_headache,头痛,acute_phase;subacute_phase,风湿头痛,风湿痹阻,头痛如裹；肢体困重；胸闷纳呆；苔腻,燥热伤津,羌活胜湿汤,羌活（6g）；藤本（3g）；蔓荆子（2g）；甘草（3g）；独活（6g）；防风（3g）,,风湿痹阻,需结合M1诊断、严重度和红旗信号判断,v11_chain_toutong_cluster_headache_wind_damp_headache,需人工审核
PROD_000169,丛集性头痛,cluster_headache,头痛,acute_phase,风热头痛,风热犯表/肺卫不宣,头胀痛；发热恶风；面红目赤；口渴；苔薄黄,恶寒重清涕,芎芷石膏汤,[待补充],,风热犯表/肺卫不宣,需结合M1诊断、严重度和红旗信号判断,v11_chain_toutong_cluster_headache_wind_heat_headache,需人工审核
PROD_000170,中医病名: 经行情志异常,zhong_yi_bing_ming_jing_xing_qing_zhi_yi_chang,中医病名: 经行情志异常,common_phase,痰火上扰,痰火内扰,烦乱不安；面红目赤；溲黄便结；舌质红；脉滑数有力,烦躁易怒；经前；经期精神抑郁不乐,生铁落饮,天冬9g；麦冬9g；浙贝母9g；胆南星9g；橘红9g；制远志9g；连翘9g；茯苓9g；茯神9g；其余药味:玄参9g钩藤12g（后下）丹参12g生铁落10g（先煎60分钟布包）郁金9g石菖蒲9g黄连6g辰砂0.3g（研末冲服）,+大便秘结：生大黄3g（后下）；+其他：煅礞石20g（先煎布包）；+口苦咽干：竹茹10g；+痰多：天竺黄9g,痰火内扰,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_302-01-02,原始库直入；结构抽样复核
PROD_000171,中医病名: 经行情志异常,zhong_yi_bing_ming_jing_xing_qing_zhi_yi_chang,中医病名: 经行情志异常,common_phase,肝气郁结,[待补充],烦躁易怒；经前；经期精神抑郁不乐；舌质暗或苔薄（按气滞规范补足）；脉弦（按气滞规范补足）,烦乱不安；面红目赤；溲黄便结,逍遥散,柴胡9g；当归9g；白芍9g；炒白术9g；茯苓9g；炙甘草4g；薄荷4g（后下）；煨姜3g,+心烦易怒、经量偏多：牡丹皮12g；+其他：炒栀子9g；+情绪低落、郁闷胸胁：醋香附9g；+失眠多梦：炒酸枣仁12g,[待补充],需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_302-01-01,原始库直入；结构抽样复核
PROD_000172,中心性浆液性脉络膜视网膜病变 (Central Serous Chorioretinopathy),zhong_xin_xing_jiang_ye_xing_mai_luo_mo_shi_wang_mo_bing_bian_central_serous_cho,中心性浆液性脉络膜视网膜病变 (Central Serous Chorioretinopathy),common_phase,湿蕴三焦,气虚失固/推动无力；脾失健运,病变在早期；脾虚不著；舌质淡；脉细弱,头晕胁痛；口苦咽干；黄斑区色变暗红；五心烦热；眼内干涩,三仁汤,杏仁12g；滑石20g（包煎）；通草6g；白蔻仁10g；竹叶12g；厚朴12g；生薏苡仁20g；清半夏12g,,气虚失固/推动无力；脾失健运,心血管供血、节律、泵功能或循环状态相关,ORIG_ORAL_558-01-03,原始库直入；结构抽样复核
PROD_000173,中心性浆液性脉络膜视网膜病变 (Central Serous Chorioretinopathy),zhong_xin_xing_jiang_ye_xing_mai_luo_mo_shi_wang_mo_bing_bian_central_serous_cho,中心性浆液性脉络膜视网膜病变 (Central Serous Chorioretinopathy),common_phase,肝经郁热,[待补充],头晕胁痛；口苦咽干；黄斑区色变暗红；舌质红或苔黄；脉弦细数,五心烦热；眼内干涩；黄斑区水肿；病变在早期；脾虚不著,丹栀逍遥散,柴胡9g；当归12g；白芍10g；茯苓15g；白术12g；生甘草6g；薄荷6g（后下）；生姜6g；牡丹皮9g；其余药味:栀子9g煨姜3g,,[待补充],心血管供血、节律、泵功能或循环状态相关,ORIG_ORAL_558-01-01,原始库直入；结构抽样复核
PROD_000174,中心性浆液性脉络膜视网膜病变 (Central Serous Chorioretinopathy),zhong_xin_xing_jiang_ye_xing_mai_luo_mo_shi_wang_mo_bing_bian_central_serous_cho,中心性浆液性脉络膜视网膜病变 (Central Serous Chorioretinopathy),chronic_phase,脾虚湿泛,脾失健运,黄斑区水肿；食少便溏；少气乏力；舌淡苔白；脉缓或濡,,参苓白术散,莲子12g；薏苡仁20g；砂仁6g；桔梗6g；茯苓15g；人参9g；生甘草6g；白术12g；山药15g；其余药味:白扁豆10g大枣6g莲子肉5g,"+黄斑区水肿、渗出较甚：猪苓9g；+其他：泽兰9g；+脾阳虚衰,水湿停滞致眼底水肿较甚,舌苔白滑,脉象沉细者：干姜3g；+其他：桂枝9g；+其他：牛膝9g",脾失健运,心血管供血、节律、泵功能或循环状态相关,ORIG_ORAL_558-02-01,原始库直入；结构抽样复核
PROD_000175,中心性浆液性脉络膜视网膜病变 (Central Serous Chorioretinopathy),zhong_xin_xing_jiang_ye_xing_mai_luo_mo_shi_wang_mo_bing_bian_central_serous_cho,中心性浆液性脉络膜视网膜病变 (Central Serous Chorioretinopathy),common_phase,阴虚火旺,阴液亏虚/虚热内生,五心烦热；眼内干涩；黄斑区水肿；舌红少苔；脉细数,头晕胁痛；口苦咽干；黄斑区色变暗红；病变在早期；脾虚不著,知柏地黄汤,知母9g；黄柏6g；熟地黄20g；山茱萸10g；怀山药15g；茯苓15g；泽泻10g；牡丹皮9g,+若眼底渗出物及色素较多者：当归12g；+其他：牛膝9g；+其他：丹参9g,阴液亏虚/虚热内生,心血管供血、节律、泵功能或循环状态相关,ORIG_ORAL_558-01-02,原始库直入；结构抽样复核
PROD_000176,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],,休克/脱证；神昏抽搐,予参苓白术散,[待补充],"+方药：参附汤合生脉饮加减,药用人参、附子、麦冬、五味子等。病程日久,脾胃虚弱时, 予参苓白术散加减。",[待补充],需结合M1诊断、严重度和红旗信号判断,JZ_fx_00117,需人工审核
PROD_000177,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],,休克/脱证；神昏抽搐,参附汤合生脉饮,[待补充],"+方药：参附汤合生脉饮加减,药用人参、附子、麦冬、五味子等。病程日久,脾胃虚弱时, 予参苓白术散加减。",[待补充],需结合M1诊断、严重度和红旗信号判断,JZ_fx_00116,需人工审核
PROD_000178,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],,休克/脱证；神昏抽搐,可选用紫雪丹,[待补充],"+加减：痰涎壅盛者加石菖蒲、胆星、郁金、鲜竹沥；+其他：大便干结者加大黄、芒硝；+其他：高热神昏抽 搐者,可选用紫雪丹、安宫牛黄丸以清心开窍,镇惊熄风。",[待补充],需结合M1诊断、严重度和红旗信号判断,JZ_fx_00113,需人工审核
PROD_000179,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],,休克/脱证；神昏抽搐,安宫牛黄丸,[待补充],"+加减：痰涎壅盛者加石菖蒲、胆星、郁金、鲜竹沥；+其他：大便干结者加大黄、芒硝；+其他：高热神昏抽 搐者,可选用紫雪丹、安宫牛黄丸以清心开窍,镇惊熄风。",[待补充],需结合M1诊断、严重度和红旗信号判断,JZ_fx_00114,需人工审核
PROD_000180,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],,休克/脱证；神昏抽搐,新加香薷饮或藿香正气散,[待补充],"+方药：新加香薷饮或藿香正气散加减,常用银花、香薷、连翘、扁豆花、厚朴、藿香等。",[待补充],需结合M1诊断、严重度和红旗信号判断,JZ_fx_00110,需人工审核
PROD_000181,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],,休克/脱证；神昏抽搐,清营汤,[待补充],"+方药：清营汤加减,常用水牛角、生地黄、麦冬、丹参、黄连、金银花、连翘、竹叶心等。",[待补充],需结合M1诊断、严重度和红旗信号判断,JZ_fx_00111,需人工审核
PROD_000182,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],,休克/脱证；神昏抽搐,王氏清暑益气汤,[待补充],"+方药：王氏清暑益气汤加减,常用西洋参、石斛、麦冬、黄连、竹叶、荷梗、知母、甘草、 粳米、西瓜翠衣等。",[待补充],需结合M1诊断、严重度和红旗信号判断,JZ_fx_00109,需人工审核
PROD_000183,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],,休克/脱证；神昏抽搐,羚角钩藤汤,[待补充],"+方药：羚角钩藤汤加减,常用羚羊角、桑叶、川贝母、生地黄、钩藤、菊花、白芍、生甘 草、淡竹叶、茯神等。",[待补充],需结合M1诊断、严重度和红旗信号判断,JZ_fx_00112,需人工审核
PROD_000184,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],,休克/脱证；神昏抽搐,黄连解毒汤合清营汤,[待补充],"+方药：黄连解毒汤合清营汤加减,药用黄连、黄芩、黄柏、栀子、水牛角、生地黄、玄参、",[待补充],需结合M1诊断、严重度和红旗信号判断,JZ_fx_00115,需人工审核
PROD_000185,中暑,zhong_shu,待挂载中医二级病名,acute_phase,[待标注],[待补充],不宜短时间内补充大量水分；否则易引起呕吐；腹痛；恶心等症状；4.促醒 患者若已失去知觉；可指掐人中；合谷等穴；使其苏醒；若呼吸停止；应立即实施 人工呼吸；5.转送 对于重症中暑患者；必须立即送医院诊治；搬运患者时；应用担架运送；不可使患 者步行；同时运送途中要注意；尽可能用冰袋敷于患者额头；肘窝及大腿根部；积极进行物理降 温；以保护大脑；肺等重要脏器；（2）注意事项： ①适应证：外感时邪所致高热头痛；恶心呕吐；腹痛腹泻等症状；②禁忌 证：过于消瘦；有出血倾向；局部有皮肤病或皮肤高度过敏患者禁用此法；③刮痧后1～2天局 部出现轻微疼痛；痒感等属正常现象；出痧后30分钟忌洗凉水澡；夏季出痧部位忌风扇或空调 直吹；刮痧后嘱患者保,休克/脱证；神昏抽搐,夏日起居失调或饮；暑病皆因饮；上述均表明夏月饮；口渴多饮；加速散；可给一些清凉饮；要单一方；王氏清暑益气汤；可加生石膏；清暑益气丸,[待补充],,【病因病机】 (一)病因 本病是因感受夏令暑邪而引起，因气候炎热，机体元气有亏，不能调节适应，致使暑邪乘虚 入里而发病。；(二)病机 1.暑热亢盛 身体虚弱，外感暑热之邪，可发为中暑。暑为热邪，最易耗气伤津，出现气阴 两虚证。 2.暑热扰心 心为君主之官，主神明，暑热之邪可由气分深入营分，心包代君受邪，出现神 明受扰的证候。故中暑的病位在心或心包。；【病因病机】 凡是热力作用人体造成的伤害皆为烧伤，包括火焰、沸水、蒸气、电弧、电流、放射物质以 及强酸强碱等对人体的伤害。 热力袭人，伤及皮肉，气与热搏结于皮肤则水疱隆起；伤及肌腠、筋骨则肉烂筋枯骨焦；内 熏,消化道动力、炎症、黏膜屏障或菌群相关,JZ_disease_0021,需人工审核
PROD_000186,中耳胆脂瘤**,zhong_er_dan_zhi_liu,中耳胆脂瘤**,common_phase,湿困耳窍,[待补充],或耳脓清稀如水；耳内流脓白黏；倦怠乏力；舌淡胖；脉缓弱,脓无臭或有臭；鼓膜潮红或暗红；耳内间歇性或持续流脓；耳内流脓；流脓不畅,托里消毒散,白人参6g；黄芪20g；当归12g；川芎9g；炒白芍15g；白术12g；茯苓12g；金银花15g；白芷6g；生甘草6g,+脓多色白：苍术12g；+其他：白术9g；+脓多色黄：黄连6g；+其他：车前子12g；+肉芽 息肉：僵蚕6g；+其他：浙贝9g,[待补充],需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_213-01-02,原始库直入；结构抽样复核
